number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.07379570922026035,2026-09-25 07:32:22.183103,2026-09-25 07:34:00.498452,0 days 00:01:38.315349,0.5290418060840998,0.07220721098226064,9,63,1000,195,0.2537815508265665,2.9154431891537547,0.662397808134481,,COMPLETE
1,0.08205677077501439,2026-09-25 07:34:00.499752,2026-09-25 07:36:54.192320,0 days 00:02:53.692568,0.5917022549267169,0.010437335666720523,11,79,1500,249,0.12561043700013558,0.016480446427978974,0.6727299868828402,,COMPLETE
2,0.09703614745738243,2026-09-25 07:36:54.193828,2026-09-25 07:37:48.455547,0 days 00:00:54.261719,0.728034992108518,0.0183234024502698,5,102,1250,168,0.006290644294586149,1.382623217936987,0.7465447373174767,,COMPLETE
3,0.08653386938964455,2026-09-25 07:37:48.456737,2026-09-25 07:38:57.624360,0 days 00:01:09.167623,0.9744427686266666,0.034277067939409996,9,67,1250,41,1.7123375973163988,7.2866537374910445,0.6260206371941118,,COMPLETE
4,0.09313118481704583,2026-09-25 07:38:57.625566,2026-09-25 07:40:29.701425,0 days 00:01:32.075859,0.5171942605576092,0.01225199210177624,7,54,1000,184,0.010842262717330166,4.337920697490942,0.798070764044508,,COMPLETE
5,0.0822693951514406,2026-09-25 07:40:29.702630,2026-09-25 07:42:16.782680,0 days 00:01:47.080050,0.8875664116805573,0.019120672003192066,8,71,1500,148,3.7958531426706403,5.727904470799623,0.9878338511058234,,COMPLETE
6,0.08523979275367766,2026-09-25 07:42:16.784010,2026-09-25 07:43:16.055838,0 days 00:00:59.271828,0.6943386448447411,0.06800414597277955,5,32,1500,50,2.0651425578959257,0.01217295809836997,0.7301321323053057,,COMPLETE
7,0.10077939322052536,2026-09-25 07:43:16.057034,2026-09-25 07:43:58.018817,0 days 00:00:41.961783,0.9934434683002586,0.01793532053620138,5,245,1000,153,0.0062353771356731605,1.2273800987852967,0.6298202574719083,,COMPLETE
8,0.08631838329110819,2026-09-25 07:43:58.019977,2026-09-25 07:44:37.321039,0 days 00:00:39.301062,0.6792328642721364,0.05450483770507908,10,236,500,190,2.8340904295147746,0.0029072088906598446,0.6296178606936361,,COMPLETE
9,0.09079980446468447,2026-09-25 07:44:37.322275,2026-09-25 07:45:52.412542,0 days 00:01:15.090267,0.8187787356776066,0.019898974384450128,6,111,1500,45,0.0774211647399625,3.53875886477924,0.8918424713352255,,COMPLETE
10,0.06542616566589017,2026-09-25 07:45:52.413627,2026-09-25 07:47:31.764813,0 days 00:01:39.351186,0.6038094208107587,0.07472288363013524,10,27,1000,167,0.4842565005159421,0.023960228321729393,0.8576490356261934,"{""colsample_bytree"": 0.6038094208107587, ""learning_rate"": 0.07472288363013524, ""max_depth"": 10, ""min_child_samples"": 27, ""n_estimators"": 1000, ""num_leaves"": 167, ""reg_alpha"": 0.4842565005159421, ""reg_lambda"": 0.023960228321729393, ""subsample"": 0.8576490356261934}",COMPLETE
