,0
HubID,16687
month,3469
day,3408
doy_cos,2576
dayofyear,2502
doy_sin,2126
hub_last_value,1974
dow,1313
hub_trend_ratio,1199
lag_364,1106
week,1099
lag_42,1055
lag_56,971
hub_promo_mean,947
year,929
lag_49,869
hub_wd_mean,774
hub_wd_median,739
dow_sin,719
lag_371,713
hub_recent28_mean,700
lag_63,669
PromoActive,663
hub_std,584
dow_cos,582
hub_wd_appsessions_mean,573
log_competitor_distance,560
lag_42_63_mean,515
hub_max,479
SchoolClosureFlag,469
hub_recent182_mean,459
promo_x_dow,456
loyalty_tenure_weeks,408
hub_appsessions_mean,405
hub_mean,360
HubFormat,346
hub_recent91_mean,325
competitor_open_months,312
is_weekend,262
is_loyalty_renewal_month,246
is_month_end,238
RegionalHoliday,226
hub_median,205
month_cos,154
AssortmentTier,148
month_sin,138
loyalty_active,61
LoyaltyProgram,36
quarter,27
is_month_start,17
competitor_unknown,2
competitor_distance_missing,0
promo_x_weekend,0
