,0
hub_promo_mean,0.4271129
hub_wd_mean,0.25465474
hub_wd_median,0.09252768
PromoActive,0.04735917
promo_x_dow,0.027623557
hub_recent182_mean,0.010276001
week,0.008264834
lag_364,0.0075514023
dow,0.0075018154
dow_cos,0.0073442427
is_weekend,0.007042107
is_month_end,0.006776718
lag_42_63_mean,0.0066189473
dayofyear,0.0063870116
dow_sin,0.0059038526
month,0.005791729
hub_recent28_mean,0.0056316815
lag_42,0.00510517
day,0.0050627077
month_cos,0.0043905126
HubID,0.004252894
lag_63,0.0037382143
hub_median,0.0027584038
RegionalHoliday,0.0027517711
lag_56,0.002538185
doy_sin,0.0024973252
SchoolClosureFlag,0.0023179676
quarter,0.0022835338
doy_cos,0.0022624077
hub_mean,0.0017827695
lag_49,0.001752554
hub_trend_ratio,0.0017469072
hub_recent91_mean,0.0015202644
hub_last_value,0.0015069549
AssortmentTier,0.0015055706
year,0.0015003602
is_loyalty_renewal_month,0.001461618
HubFormat,0.0013431739
hub_wd_appsessions_mean,0.0012165257
log_competitor_distance,0.0012085435
month_sin,0.0011673553
is_month_start,0.0011269324
lag_371,0.0010729553
loyalty_active,0.0009885607
hub_appsessions_mean,0.0009851061
hub_std,0.00083574094
hub_max,0.0008000222
competitor_open_months,0.0006438442
loyalty_tenure_weeks,0.0006330417
LoyaltyProgram,0.00046851594
competitor_unknown,0.0004051221
competitor_distance_missing,0.0
promo_x_weekend,0.0
